Date,Minimum temperature,Maximum temperature,Rainfall,Evaporation,Sunshine,Direction of maximum wind gust ,Speed of maximum wind gust,Time of maximum wind gust,9am Temperature,9am relative humidity,9am cloud amount,9am wind direction,9am wind speed,9am MSL pressure (hPa),3pm Temperature,3pm relative humidity,3pm cloud amount (oktas),3pm wind direction,3pm wind speed
5/27/2023,6.7,11.5,5.4,,,WNW,56,15:35,8.5,100,,WNW,19,,10.2,88,,WNW,30
5/28/2023,8.2,11.8,10.6,,,WNW,35,3:33,9.2,100,,NW,9,,9.3,97,,WSW,11
5/29/2023,6.6,11.3,10.4,,,SSW,65,9:43,6.8,100,,SSW,31,,8.7,76,,SW,24
5/30/2023,5.9,12.4,6.2,,,W,59,19:46,10.7,100,,SW,26,,10.8,100,,W,26
5/31/2023,10.5,13.1,14.8,,,NW,94,13:23,12.4,100,,WNW,37,,12.6,100,,WNW,46
6/1/2023,4.3,9.8,36,,,SW,74,1:30,6.4,88,,SW,24,,8.4,82,,SW,30
6/2/2023,5,11.9,1,,,SSW,30,0:52,7.4,84,,WSW,9,,9,82,,W,11
6/3/2023,6.1,12,0.6,,,S,43,14:14,7.8,100,,SSW,19,,11.7,80,,S,19
6/4/2023,4.9,12.2,0.4,,,ENE,57,23:47,8.1,92,,E,20,,10.9,76,,ENE,28
6/5/2023,7.5,12.4,0,,,ENE,70,22:35,9.7,84,,ENE,37,,11.7,76,,ENE,35
6/6/2023,9.6,12.6,1.4,,,ENE,61,2:22,11.4,100,,NE,30,,12,100,,NE,28
6/7/2023,11.4,13.5,3.6,,,NNE,69,22:01,12,100,,NE,22,,12.3,99,,NE,33
6/8/2023,8.9,13.2,25.4,,,NW,85,23:27,9.7,100,,NNE,20,,10.1,100,,NW,15
6/9/2023,4.2,8.9,22.2,,,W,69,17:59,4.8,100,,W,17,,7.1,100,,WSW,13
6/10/2023,4.6,11.5,14.8,,,WNW,69,12:05,8.9,100,,WNW,35,,10.9,100,,WSW,20
6/11/2023,8.5,11.9,8,,,W,28,5:39,9.9,100,,WNW,15,,11.7,100,,NNW,17
6/12/2023,7.8,11.7,1.8,,,N,39,3:49,8.9,95,,NE,20,,10.8,93,,N,22
6/13/2023,8.3,12.1,9,,,NNE,48,11:15,9.1,100,,NNE,26,,9.9,100,,N,22
6/14/2023,6.2,11.1,8,,,WSW,46,12:02,8,100,,SW,17,,8.5,82,,WSW,20
6/15/2023,6.3,12.9,4.6,,,WNW,54,6:00,10,100,,W,13,,10.9,80,,WSW,20
6/16/2023,7.9,13.5,2.8,,,N,69,22:17,10.7,100,,N,31,,12.2,86,,NNW,31
6/17/2023,10.7,12.8,0,,,N,80,7:43,11,82,,N,46,,9.6,97,,NNW,33
6/18/2023,4.4,12,15.4,,,NNW,72,17:55,5.6,99,,N,11,,11.3,74,,NNW,31
6/19/2023,2.2,7.5,10.8,,,W,59,1:35,2.9,100,,W,13,,4.5,94,,SW,15
6/20/2023,1.9,9.5,4.6,,,WSW,48,2:33,3.8,100,,SSW,24,,7.4,85,,SSW,20
6/21/2023,3.3,11.4,0.2,,,ENE,30,22:05,5.1,87,,ENE,17,,8.4,83,,ENE,11
6/22/2023,4.9,8.4,0.6,,,ENE,50,19:29,6.1,100,,E,19,,6.7,100,,SE,13
6/23/2023,6.1,11.6,9.6,,,ENE,30,0:43,6.3,100,,NNE,11,,9.5,85,,N,13
